id line;is closed;x;y;z;attribute
1;False;1338.1032;388.2518;256.5;0.0
1;False;1338.813;387.9051;256.57;0.0
1;False;1339.1185;387.7559;257.08;0.0
1;False;1341.2571;386.7114;257.36;0.0
1;False;1343.3956;385.6669;258.48;0.0
1;False;1343.8449;385.4475;258.81;0.0
1;False;1344.9232;384.9208;259.18;0.0
1;False;1346.1906;384.1906;261.0426;0.0
1;False;1347.0;383.7244;261.3858;0.0
1;False;1348.2574;383.0;261.9819;0.0
1;False;1349.0;382.5722;262.5564;0.0
1;False;1350.0091;381.9909;262.989;0.0
1;False;1351.2665;381.2665;263.4653;0.0
1;False;1352.7303;380.4232;264.04;0.0
1;False;1355.8603;378.6201;265.2148;0.0
1;False;1356.5977;378.1953;265.5841;0.0
1;False;1362.1442;375.0;266.475;0.0
1;False;1371.0;369.8983;268.1273;0.0
1;False;1376.0183;367.0073;269.7839;0.0
1;False;1381.0;364.1374;271.0264;0.0
1;False;1384.4149;362.1701;271.4945;0.0
1;False;1388.4289;359.8578;272.2008;0.0
1;False;1391.0;358.3766;272.8229;0.0
1;False;1394.4113;356.4113;273.8089;0.0
1;False;1396.5083;355.2033;274.0446;0.0
1;False;1401.0;352.6157;275.0883;0.0
1;False;1405.0202;350.2997;275.4763;0.0
1;False;1407.3283;348.97;275.6387;0.0
1;False;1409.3742;347.7914;275.8056;0.0
1;False;1413.7453;345.2733;276.2364;0.0
1;False;1415.3157;344.3686;276.549;0.0
1;False;1417.5133;343.1026;276.9727;0.0
2;False;1374.2935;790.8843;270.7332;1.0
2;False;1377.7481;790.3741;268.1811;1.0
2;False;1379.0;790.1892;267.2557;1.0
2;False;1379.9514;790.0486;266.5382;1.0
2;False;1381.0;789.8938;265.8977;1.0
2;False;1382.3799;789.69;265.2275;1.0
2;False;1384.4609;789.3826;264.7208;1.0
2;False;1386.9911;789.0089;264.0231;1.0
2;False;1387.0;789.0076;264.0209;1.0
2;False;1387.0035;789.007;264.019;1.0
2;False;1387.0513;789.0;264.0011;1.0
2;False;1389.0;788.7122;263.08;1.0
2;False;1389.3377;788.6623;262.7836;1.0
2;False;1391.6597;788.3193;260.3004;1.0
2;False;1393.0;788.1214;259.8314;1.0
2;False;1395.3418;787.7755;259.22;1.0
2;False;1395.9544;787.6799;258.91;1.0
2;False;1396.8733;787.5367;258.68;1.0
2;False;1397.15;787.4935;258.82;1.0
2;False;1398.059;787.3518;258.39;1.0
2;False;1399.0273;787.2008;258.08;1.0
2;False;1404.1652;786.3997;257.99;1.0
2;False;1405.5485;786.184;257.95;1.0
2;False;1409.8762;785.5092;257.67;1.0
2;False;1413.3344;784.97;257.72;1.0
2;False;1420.8832;783.7929;257.42;1.0
2;False;1426.357;782.9394;257.42;1.0
2;False;1435.8721;781.4558;257.19;1.0
2;False;1440.2986;780.7656;257.05;1.0
2;False;1449.9816;779.2558;256.79;1.0
2;False;1456.4633;778.2451;256.81;1.0
2;False;1458.8148;777.8784;256.94;1.0
2;False;1461.5419;777.4532;257.05;1.0
2;False;1463.854;777.0927;257.84;1.0
2;False;1465.4645;776.8416;258.24;1.0
2;False;1466.0771;776.7461;258.7;1.0
2;False;1467.8556;776.4688;259.12;1.0
2;False;1468.735;776.3316;259.34;1.0
2;False;1469.15;776.2669;259.47;1.0
2;False;1473.5393;775.5393;260.093;1.0
2;False;1475.0;775.2972;260.5394;1.0
2;False;1476.7928;775.0;262.4317;1.0
2;False;1477.0;774.9656;262.6613;1.0
2;False;1477.9076;774.8152;264.0842;1.0
2;False;1479.0;774.6341;264.2496;1.0
2;False;1481.4115;774.2344;264.7798;1.0
2;False;1484.5083;773.721;265.1152;1.0
2;False;1487.0;773.308;265.4865;1.0
2;False;1490.8361;772.6721;265.8777;1.0
2;False;1496.9804;771.6536;265.6916;1.0
2;False;1501.0152;770.9848;265.87;1.0
2;False;1502.8716;770.6771;265.8894;1.0
2;False;1507.5492;769.9017;265.8475;1.0
2;False;1510.2287;769.4575;266.1903;1.0
2;False;1511.0;769.3296;266.2932;1.0
2;False;1511.4951;769.2476;266.5424;1.0
2;False;1515.0;768.6666;268.2892;1.0
2;False;1516.3603;768.4411;268.3397;1.0
2;False;1522.6867;767.3924;268.3824;1.0
2;False;1530.6421;766.0737;268.732;1.0
2;False;1536.113;765.1668;269.1378;1.0
